인덱스,발화,장소,난이도
24118,아 운동하는 곳으로 가줘 진짜 ㅠㅠ,exercise,direct
24119,음 활동적으로 움직이고 싶다 해야겠다,exercise,indirect
24120,좀 기분 전환이 필요해 약간 싶네,exercise,ambiguous
24121,혹시 요리하는 공간으로 가줘 왠지 ㅠㅠ,kitchen,direct
24122,혹시 목이 좀 마른데 진짜 ㅠㅠ,kitchen,indirect
24123,갑자기 가볍게 뭐라도 하고 싶다 조금,kitchen,ambiguous
24124,거실로 가줘 왠지 좀,living room,direct
24125,혹시 드라마 보고 싶다 약간.,living room,indirect
24126,갑자기 오늘 너무 피곤하다!,living room,ambiguous
24127,갑자기 방으로 가고 싶어 진짜.,bedroom,direct
24128,갑자기 몸이 너무 피곤하다 진짜.,bedroom,indirect
24129,오늘 조용한 분위기가 좋다 조금 싶네,bedroom,ambiguous
24130,혹시 운동 장소로 이동하자 약간,exercise,direct
24131,음 가볍게 뛰고 싶네 약간 싶네,exercise,indirect
24132,기분 전환이 필요해 약간 같은데,exercise,ambiguous
24133,갑자기 냉장고 있는 곳으로 가 진짜,kitchen,direct
24134,오늘 목이 좀 마른데 같은데,kitchen,indirect
24135,지금 오늘은 직접 해볼까 약간 싶네,kitchen,ambiguous
24136,거실로 가줘 진짜.,living room,direct
24137,지금 휴식이 필요해 약간 같은데,living room,indirect
24138,좀 한숨 돌리고 싶다 조금 같은데,living room,ambiguous
24139,아 침대 있는 방으로 이동해 조금.,bedroom,direct
24140,갑자기 잠깐 낮잠 자고 싶다 진짜 같은데,bedroom,indirect
24141,갑자기 생각 정리 좀 하고 싶네 왠지 같은데,bedroom,ambiguous
24142,좀 헬스하는 데로 가 좀,exercise,direct
24143,지금 땀 좀 흘리고 싶다 왠지,exercise,indirect
24144,좀 활력이 필요하다 진짜 좀,exercise,ambiguous
24145,아 주방 쪽으로 안내해 해야겠다,kitchen,direct
24146,혹시 물 마시고 싶다 조금 좀,kitchen,indirect
24147,음 오늘은 직접 해볼까.,kitchen,ambiguous
24148,오늘 TV 있는 데로 이동해 같은데,living room,direct
24149,갑자기 오늘은 아무 생각 하기 싫다 ㅠㅠ,living room,indirect
24150,음 오늘은 늘어지고 싶다 약간 싶네,living room,ambiguous
24151,혹시 침실 쪽으로 가자 왠지 ㅠㅠ,bedroom,direct
24152,아 눈이 감긴다!,bedroom,indirect
24153,오늘 방해받기 싫다 왠지!,bedroom,ambiguous
24154,지금 운동할 수 있는 곳으로 가 왠지 싶네,exercise,direct
24155,음 체력이 떨어진 느낌이야 왠지 같은데,exercise,indirect
24156,혹시 가만히 있기 싫다 조금 해야겠다,exercise,ambiguous
24157,혹시 요리하는 공간으로 가줘 조금 같은데,kitchen,direct
24158,혹시 냉장고 확인하고 싶다 ㅠㅠ,kitchen,indirect
24159,아 기분 전환 좀 할까 약간.,kitchen,ambiguous
24160,아 TV 앞에 가고 싶어!,living room,direct
24161,음 잠깐 멍 때리고 싶네 진짜!,living room,indirect
24162,오늘 조용히 있고 싶네 진짜 싶네,living room,ambiguous
24163,혹시 자는 곳으로 가 약간 같은데,bedroom,direct
24164,음 오늘은 일찍 자야겠다 왠지 좀,bedroom,indirect
24165,좀 혼자 있고 싶네 진짜,bedroom,ambiguous
24166,음 헬스하는 데로 가 조금 싶네,exercise,direct
24167,오늘 몸이 찌뿌둥하다 약간.,exercise,indirect
24168,좀 활력이 필요하다 조금 싶네,exercise,ambiguous
24169,갑자기 부엌 쪽으로 이동하자 조금 같은데,kitchen,direct
24170,지금 뭔가 만들어 먹고 싶네 조금!,kitchen,indirect
24171,오늘 오늘 뭔가 만들어볼까 진짜!,kitchen,ambiguous
24172,아 편하게 앉을 곳으로 가줘 해야겠다,living room,direct
24173,갑자기 좀 쉬고 싶네 약간!,living room,indirect
24174,오늘 잠깐 머리 식히고 싶네 조금.,living room,ambiguous
24175,지금 조용한 방으로 가줘 왠지 해야겠다,bedroom,direct
24176,혹시 눈이 감긴다 조금 싶네,bedroom,indirect
24177,지금 조용한 데 가고 싶다 진짜 싶네,bedroom,ambiguous
24178,오늘 운동할 수 있는 곳으로 가 진짜,exercise,direct
24179,갑자기 땀 좀 흘리고 싶다 약간 싶네,exercise,indirect
24180,좀 뭔가 역동적인 걸 하고 싶다 조금 싶네,exercise,ambiguous
24181,음 주방으로 데려다줘 진짜 ㅠㅠ,kitchen,direct
24182,갑자기 뭔가 만들어 먹고 싶네 약간 ㅠㅠ,kitchen,indirect
24183,좀 가볍게 뭐라도 하고 싶다 조금!,kitchen,ambiguous
24184,혹시 쉬는 공간으로 이동하자 약간.,living room,direct
24185,갑자기 편한 분위기가 좋다 조금!,living room,indirect
24186,음 아무것도 안 하고 싶다 진짜 같은데,living room,ambiguous
24187,오늘 침실로 데려다줘,bedroom,direct
24188,지금 몸이 너무 피곤하다 진짜 좀,bedroom,indirect
24189,오늘 잠잠한 곳이 좋네 ㅠㅠ,bedroom,ambiguous
24190,아 운동 공간으로 이동해 조금 해야겠다,exercise,direct
24191,너무 오래 앉아 있었네,exercise,indirect
24192,지금 리프레시하고 싶네 진짜 싶네,exercise,ambiguous
24193,지금 주방으로 가줘 약간 싶네,kitchen,direct
24194,음 냉장고 확인하고 싶다 약간 같은데,kitchen,indirect
24195,뭔가 찾고 싶네 진짜!,kitchen,ambiguous
24196,오늘 거실로 안내해 조금.,living room,direct
24197,아 편하게 기대고 싶어 약간!,living room,indirect
24198,조용히 있고 싶네 약간 좀,living room,ambiguous
24199,잠잘 곳으로 안내해 싶네,bedroom,direct
24200,몸이 너무 피곤하다 조금 싶네,bedroom,indirect
24201,아 잠잠한 곳이 좋네 약간 싶네,bedroom,ambiguous
24202,음 운동할 수 있는 곳으로 가 조금 같은데,exercise,direct
24203,갑자기 몸이 찌뿌둥하다 싶네,exercise,indirect
24204,음 에너지가 부족한 느낌이야 왠지 같은데,exercise,ambiguous
24205,음 부엌으로 이동해 조금.,kitchen,direct
24206,오늘 간단하게 요기하고 싶어 조금 ㅠㅠ,kitchen,indirect
24207,오늘 손 가는 걸 해보고 싶다 진짜!,kitchen,ambiguous
24208,거실 쪽으로 가자 진짜.,living room,direct
24209,갑자기 소파에 눕고 싶다 약간 ㅠㅠ,living room,indirect
24210,오늘 오늘 너무 피곤하다 왠지 해야겠다,living room,ambiguous
24211,침실 쪽으로 가자 약간 ㅠㅠ,bedroom,direct
24212,잠깐 낮잠 자고 싶다 왠지 좀,bedroom,indirect
24213,갑자기 조용한 데 가고 싶다 약간 좀,bedroom,ambiguous
24214,오늘 운동 장소로 이동하자 왠지.,exercise,direct
24215,지금 몸 좀 움직이고 싶다 약간 ㅠㅠ,exercise,indirect
24216,오늘 가만히 있기 싫다 진짜 해야겠다,exercise,ambiguous
24217,싱크대 있는 데로 가 진짜 싶네,kitchen,direct
24218,오늘 컵라면이라도 먹을까 왠지 같은데,kitchen,indirect
24219,좀 간단하게 해결할 게 없나 왠지.,kitchen,ambiguous
24220,혹시 TV 앞에 가고 싶어 왠지!,living room,direct
24221,음 TV 보고 싶다 싶네,living room,indirect
24222,지금 가볍게 쉬고 싶다 왠지.,living room,ambiguous
24223,갑자기 방으로 가고 싶어 진짜!,bedroom,direct
24224,아 누워 있고 싶다 진짜,bedroom,indirect
24225,지금 방해받기 싫다 진짜!,bedroom,ambiguous
24226,음 운동할 수 있는 곳으로 가 조금.,exercise,direct
24227,갑자기 몸 좀 움직이고 싶다 조금 ㅠㅠ,exercise,indirect
24228,좀 활력이 필요하다 조금!,exercise,ambiguous
24229,좀 냉장고 있는 곳으로 가 싶네,kitchen,direct
24230,아 뭔가 만들어 먹고 싶네 조금 해야겠다,kitchen,indirect
24231,음 뭔가 하고 싶네 조금.,kitchen,ambiguous
24232,지금 TV 앞에 가고 싶어 진짜.,living room,direct
24233,지금 소파에 눕고 싶다 조금 싶네,living room,indirect
24234,아 편한 데 가고 싶어 진짜 같은데,living room,ambiguous
24235,갑자기 침대 있는 방으로 이동해 약간,bedroom,direct
24236,혹시 오늘은 일찍 자야겠다 진짜 ㅠㅠ,bedroom,indirect
24237,방해받기 싫다 싶네,bedroom,ambiguous
24238,지금 운동 공간으로 이동해 좀,exercise,direct
24239,오늘 스트레칭하고 싶다 왠지 좀,exercise,indirect
24240,지금 에너지가 부족한 느낌이야 같은데,exercise,ambiguous
24241,부엌으로 이동해 왠지,kitchen,direct
24242,음 목이 좀 마른데 같은데,kitchen,indirect
24243,음 뭔가 하고 싶네 약간 ㅠㅠ,kitchen,ambiguous
24244,좀 소파 있는 곳으로 가 진짜 좀,living room,direct
24245,오늘 편하게 기대고 싶어 약간 좀,living room,indirect
24246,혹시 기분 전환이 필요하다 진짜,living room,ambiguous
24247,음 조용한 방으로 가줘 약간,bedroom,direct
24248,음 잠깐 낮잠 자고 싶다 조금,bedroom,indirect
24249,오늘 잠잠한 곳이 좋네 약간!,bedroom,ambiguous
24250,음 헬스하는 데로 가 왠지 해야겠다,exercise,direct
24251,혹시 운동해야 하는데 같은데,exercise,indirect
24252,음 움직여야 할 것 같아 왠지 같은데,exercise,ambiguous
24253,음 싱크대 있는 데로 가 약간 ㅠㅠ,kitchen,direct
24254,혹시 배가 좀 고프네 왠지!,kitchen,indirect
24255,좀 간단하게 해결할 게 없나 해야겠다,kitchen,ambiguous
24256,혹시 거실로 안내해 왠지 같은데,living room,direct
24257,좀 편한 분위기가 좋다 해야겠다,living room,indirect
24258,좀 오늘 너무 피곤하다 진짜!,living room,ambiguous
24259,방으로 가고 싶어 약간.,bedroom,direct
24260,오늘 누워 있고 싶다 진짜.,bedroom,indirect
24261,음 방해받기 싫다 왠지.,bedroom,ambiguous
24262,좀 몸 움직일 곳으로 가줘 진짜 싶네,exercise,direct
24263,음 몸이 찌뿌둥하다 왠지 좀,exercise,indirect
24264,오늘 뭔가 역동적인 걸 하고 싶다 조금.,exercise,ambiguous
24265,혹시 주방으로 가줘 약간,kitchen,direct
24266,오늘 배가 좀 고프네 약간 좀,kitchen,indirect
24267,뭔가 찾고 싶네 진짜 해야겠다,kitchen,ambiguous
24268,갑자기 소파 있는 곳으로 가 약간 ㅠㅠ,living room,direct
24269,편하게 기대고 싶어 조금 해야겠다,living room,indirect
24270,오늘 한숨 돌리고 싶다 왠지!,living room,ambiguous
24271,혹시 내 방으로 이동해 조금 좀,bedroom,direct
24272,좀 잠 좀 자고 싶네 ㅠㅠ,bedroom,indirect
24273,좀 좀 숨고 싶다 조금,bedroom,ambiguous
24274,지금 운동하러 가자 조금,exercise,direct
24275,혹시 활동적으로 움직이고 싶다 같은데,exercise,indirect
24276,좀 기분 전환이 필요해 진짜 해야겠다,exercise,ambiguous
24277,지금 주방으로 가줘 진짜!,kitchen,direct
24278,음 커피 한잔 하고 싶다 진짜 좀,kitchen,indirect
24279,조금 움직여볼까 약간,kitchen,ambiguous
24280,오늘 TV 있는 데로 이동해 약간 싶네,living room,direct
24281,가만히 앉아 있고 싶다 같은데,living room,indirect
24282,오늘 가볍게 쉬고 싶다 싶네,living room,ambiguous
24283,침실로 가줘 진짜 해야겠다,bedroom,direct
24284,음 침대 생각난다,bedroom,indirect
24285,조용한 데 가고 싶다 조금 ㅠㅠ,bedroom,ambiguous
24286,몸 움직일 곳으로 가줘 조금 같은데,exercise,direct
24287,체력이 떨어진 느낌이야 왠지,exercise,indirect
24288,움직여야 할 것 같아 싶네,exercise,ambiguous
24289,아 냉장고 있는 곳으로 가 약간 해야겠다,kitchen,direct
24290,혹시 간식 먹고 싶다 진짜!,kitchen,indirect
24291,아 기분 전환 좀 할까 약간 ㅠㅠ,kitchen,ambiguous
24292,갑자기 소파 있는 곳으로 가 왠지.,living room,direct
24293,혹시 오늘은 아무 생각 하기 싫다 ㅠㅠ,living room,indirect
24294,오늘 편한 데 가고 싶어 싶네,living room,ambiguous
24295,조용한 방으로 가줘 왠지 싶네,bedroom,direct
24296,갑자기 잠 좀 자고 싶네 약간 싶네,bedroom,indirect
24297,아 혼자 있고 싶네 약간!,bedroom,ambiguous
24298,운동 장소로 이동하자 진짜 싶네,exercise,direct
24299,오늘 운동 안 한 지 오래됐다!,exercise,indirect
24300,뭔가 역동적인 걸 하고 싶다 조금 ㅠㅠ,exercise,ambiguous
24301,지금 부엌에 가고 싶어 약간.,kitchen,direct
24302,오늘 냉장고 확인하고 싶다 진짜 해야겠다,kitchen,indirect
24303,아 뭔가 찾고 싶네 싶네,kitchen,ambiguous
24304,음 거실로 데려다줘 왠지 해야겠다,living room,direct
24305,음 소파에 눕고 싶다 진짜 싶네,living room,indirect
24306,오늘 오늘은 늘어지고 싶다 약간!,living room,ambiguous
24307,음 침대 있는 방으로 이동해 진짜 해야겠다,bedroom,direct
24308,음 눈이 감긴다 조금 같은데,bedroom,indirect
24309,아 오늘은 쉬어야겠다 왠지,bedroom,ambiguous
24310,혹시 헬스하는 데로 가 해야겠다,exercise,direct
24311,혹시 활동적으로 움직이고 싶다 약간 해야겠다,exercise,indirect
24312,아 몸이 무거운 느낌이다 해야겠다,exercise,ambiguous
24313,지금 주방으로 데려다줘 해야겠다,kitchen,direct
24314,간단하게 요기하고 싶어 왠지 해야겠다,kitchen,indirect
24315,오늘 괜히 돌아다니고 싶다 싶네,kitchen,ambiguous
24316,음 거실로 데려다줘 같은데,living room,direct
24317,좀 편하게 기대고 싶어 왠지!,living room,indirect
24318,좀 잠깐 머리 식히고 싶네 왠지 ㅠㅠ,living room,ambiguous
24319,좀 침대 있는 방으로 이동해 진짜 해야겠다,bedroom,direct
24320,좀 잠깐 낮잠 자고 싶다 조금!,bedroom,indirect
24321,지금 좀 숨고 싶다 약간,bedroom,ambiguous
24322,갑자기 운동 장소로 이동하자 약간 좀,exercise,direct
24323,지금 땀 좀 흘리고 싶다 진짜 ㅠㅠ,exercise,indirect
24324,오늘 몸이 무거운 느낌이다 약간 좀,exercise,ambiguous
24325,냉장고 앞으로 가 진짜 싶네,kitchen,direct
24326,좀 목이 좀 마른데 조금!,kitchen,indirect
24327,음 간단하게 해결할 게 없나 싶네,kitchen,ambiguous
24328,갑자기 거실로 가줘 왠지 같은데,living room,direct
24329,혹시 드라마 보고 싶다 약간 좀,living room,indirect
24330,한숨 돌리고 싶다 ㅠㅠ,living room,ambiguous
24331,침실로 가줘 조금 싶네,bedroom,direct
24332,아 눈이 감긴다 싶네,bedroom,indirect
24333,아 좀 숨고 싶다 싶네,bedroom,ambiguous
24334,좀 운동 공간으로 이동해 해야겠다,exercise,direct
24335,음 땀 좀 흘리고 싶다 진짜!,exercise,indirect
24336,혹시 에너지가 부족한 느낌이야 약간,exercise,ambiguous
24337,오늘 싱크대 있는 데로 가 진짜!,kitchen,direct
24338,목이 좀 마른데 약간 ㅠㅠ,kitchen,indirect
24339,오늘 뭔가 만들어볼까 약간!,kitchen,ambiguous
24340,음 거실 쪽으로 가자 약간.,living room,direct
24341,혹시 편하게 기대고 싶어 진짜 해야겠다,living room,indirect
24342,편한 데 가고 싶어 약간 같은데,living room,ambiguous
24343,좀 침실 쪽으로 가자 약간,bedroom,direct
24344,침대 생각난다 약간 싶네,bedroom,indirect
24345,좀 혼자 있고 싶네 ㅠㅠ,bedroom,ambiguous
24346,트레이닝 공간으로 가 왠지 해야겠다,exercise,direct
24347,운동해야 하는데 조금 싶네,exercise,indirect
24348,갑자기 기분 전환이 필요해 진짜 해야겠다,exercise,ambiguous
24349,음 요리하는 공간으로 가줘.,kitchen,direct
24350,갑자기 커피 한잔 하고 싶다,kitchen,indirect
24351,아 조금 움직여볼까 왠지 ㅠㅠ,kitchen,ambiguous
24352,음 TV 앞에 가고 싶어 왠지 해야겠다,living room,direct
24353,음 좀 쉬고 싶네 조금 싶네,living room,indirect
24354,음 느긋하게 있고 싶어 싶네,living room,ambiguous
24355,음 잠잘 곳으로 안내해 조금 ㅠㅠ,bedroom,direct
24356,지금 쉬면서 자고 싶어.,bedroom,indirect
24357,좀 좀 숨고 싶다 해야겠다,bedroom,ambiguous
24358,갑자기 운동 장소로 이동하자 약간 ㅠㅠ,exercise,direct
24359,혹시 몸이 찌뿌둥하다 조금 싶네,exercise,indirect
24360,좀 활력이 필요하다 왠지.,exercise,ambiguous
24361,부엌 쪽으로 이동하자 진짜 해야겠다,kitchen,direct
24362,지금 배가 좀 고프네 조금 싶네,kitchen,indirect
24363,지금 뭔가 찾고 싶네 왠지 좀,kitchen,ambiguous
24364,혹시 거실 쪽으로 가자 진짜 해야겠다,living room,direct
24365,좀 휴식이 필요해 약간 해야겠다,living room,indirect
24366,혹시 잠깐 머리 식히고 싶네 약간!,living room,ambiguous
24367,혹시 조용한 방으로 가줘 약간 ㅠㅠ,bedroom,direct
24368,음 몸이 너무 피곤하다 조금 ㅠㅠ,bedroom,indirect
24369,좀 조용한 데 가고 싶다 약간 해야겠다,bedroom,ambiguous
24370,오늘 운동하는 곳으로 가줘 조금 좀,exercise,direct
24371,지금 가볍게 뛰고 싶네 조금 싶네,exercise,indirect
24372,갑자기 기분 전환이 필요해 조금 ㅠㅠ,exercise,ambiguous
24373,오늘 주방으로 가줘 왠지.,kitchen,direct
24374,혹시 목이 좀 마른데 조금 해야겠다,kitchen,indirect
24375,지금 기분 전환 좀 할까,kitchen,ambiguous
24376,지금 쉬는 공간으로 이동하자 진짜,living room,direct
24377,아 편한 분위기가 좋다 약간 ㅠㅠ,living room,indirect
24378,아 오늘 너무 피곤하다 조금 ㅠㅠ,living room,ambiguous
24379,내 방으로 이동해,bedroom,direct
24380,혹시 잠깐 낮잠 자고 싶다 왠지,bedroom,indirect
24381,지금 방해받기 싫다 약간 ㅠㅠ,bedroom,ambiguous
24382,아 스트레칭할 공간으로 가고 싶어 진짜 싶네,exercise,direct
24383,혹시 스트레칭하고 싶다 진짜!,exercise,indirect
24384,혹시 조금 활동하고 싶네 조금!,exercise,ambiguous
24385,오늘 부엌 쪽으로 이동하자 왠지 해야겠다,kitchen,direct
24386,좀 물 마시고 싶다 진짜 같은데,kitchen,indirect
24387,음 가볍게 뭐라도 하고 싶다 왠지 해야겠다,kitchen,ambiguous
24388,갑자기 거실로 안내해 왠지 해야겠다,living room,direct
24389,갑자기 가만히 앉아 있고 싶다 왠지!,living room,indirect
24390,지금 아무것도 안 하고 싶다 왠지!,living room,ambiguous
24391,혹시 자는 곳으로 가 좀,bedroom,direct
24392,지금 눈이 감긴다 왠지,bedroom,indirect
24393,오늘 잠잠한 곳이 좋네 약간 해야겠다,bedroom,ambiguous
24394,갑자기 운동방으로 안내해 조금,exercise,direct
24395,지금 운동해야 하는데 약간 좀,exercise,indirect
24396,아 조금 활동하고 싶네 조금 싶네,exercise,ambiguous
24397,좀 부엌 쪽으로 이동하자 ㅠㅠ,kitchen,direct
24398,지금 커피 한잔 하고 싶다 ㅠㅠ,kitchen,indirect
24399,아 오늘은 직접 해볼까 조금 해야겠다,kitchen,ambiguous
24400,오늘 편하게 앉을 곳으로 가줘 약간 좀,living room,direct
24401,오늘 드라마 보고 싶다 약간 좀,living room,indirect
24402,조용히 있고 싶네 진짜 ㅠㅠ,living room,ambiguous
24403,내 방으로 이동해 조금 해야겠다,bedroom,direct
24404,아 너무 졸리다 조금.,bedroom,indirect
24405,아 좀 숨고 싶다 왠지 같은데,bedroom,ambiguous
24406,지금 운동할 수 있는 곳으로 가 조금 해야겠다,exercise,direct
24407,좀 몸이 찌뿌둥하다 진짜 같은데,exercise,indirect
24408,리프레시하고 싶네 조금 ㅠㅠ,exercise,ambiguous
24409,갑자기 요리하는 공간으로 가줘 왠지 같은데,kitchen,direct
24410,아 간단하게 요기하고 싶어 약간,kitchen,indirect
24411,오늘은 직접 해볼까 조금 해야겠다,kitchen,ambiguous
24412,거실 쪽으로 가자 진짜 같은데,living room,direct
24413,혹시 편한 분위기가 좋다 약간,living room,indirect
24414,기분 전환이 필요하다 좀,living room,ambiguous
24415,아 내 방으로 이동해 왠지 ㅠㅠ,bedroom,direct
24416,아 눈이 감긴다 같은데,bedroom,indirect
24417,좀 잠잠한 곳이 좋네 약간 같은데,bedroom,ambiguous
24418,음 헬스하는 데로 가 같은데,exercise,direct
24419,아 운동해야 하는데 좀,exercise,indirect
24420,좀 활력이 필요하다 약간.,exercise,ambiguous
24421,음 싱크대 있는 데로 가,kitchen,direct
24422,지금 간단하게 요기하고 싶어 약간!,kitchen,indirect
24423,간단하게 해결할 게 없나 왠지 같은데,kitchen,ambiguous
24424,오늘 소파 있는 곳으로 가 조금 싶네,living room,direct
24425,지금 편한 분위기가 좋다 왠지 해야겠다,living room,indirect
24426,오늘 잠깐 머리 식히고 싶네 진짜 같은데,living room,ambiguous
24427,갑자기 내 방으로 이동해 왠지 ㅠㅠ,bedroom,direct
24428,오늘 잠 좀 자고 싶네 왠지,bedroom,indirect
24429,좀 오늘은 아무것도 하기 싫다 진짜 해야겠다,bedroom,ambiguous
24430,아 운동하러 가자 왠지,exercise,direct
24431,지금 몸이 찌뿌둥하다 같은데,exercise,indirect
24432,좀 뭔가 역동적인 걸 하고 싶다 왠지!,exercise,ambiguous
24433,갑자기 주방 쪽으로 안내해!,kitchen,direct
24434,아 간단하게 요기하고 싶어 진짜 좀,kitchen,indirect
24435,뭔가 찾고 싶네 왠지,kitchen,ambiguous
24436,TV 앞에 가고 싶어 약간.,living room,direct
24437,지금 TV 보고 싶다 왠지 좀,living room,indirect
24438,좀 느긋하게 있고 싶어 같은데,living room,ambiguous
24439,침대 있는 방으로 이동해 약간 해야겠다,bedroom,direct
24440,혹시 너무 졸리다 왠지.,bedroom,indirect
24441,오늘 좀 숨고 싶다 약간 좀,bedroom,ambiguous
24442,갑자기 운동방으로 안내해 약간.,exercise,direct
24443,혹시 너무 오래 앉아 있었네 조금 싶네,exercise,indirect
24444,오늘 활력이 필요하다 진짜.,exercise,ambiguous
24445,냉장고 있는 곳으로 가 진짜 같은데,kitchen,direct
24446,음 간식 먹고 싶다 조금,kitchen,indirect
24447,음 괜히 돌아다니고 싶다.,kitchen,ambiguous
24448,아 거실로 가줘 진짜 같은데,living room,direct
24449,음 드라마 보고 싶다 ㅠㅠ,living room,indirect
24450,오늘은 늘어지고 싶다 진짜 싶네,living room,ambiguous
24451,좀 조용한 방으로 가줘,bedroom,direct
24452,아 이불 덮고 싶어 약간!,bedroom,indirect
24453,좀 조용한 분위기가 좋다 조금!,bedroom,ambiguous
24454,혹시 운동방으로 안내해.,exercise,direct
24455,아 운동해야 하는데 왠지!,exercise,indirect
24456,지금 활력이 필요하다 조금 싶네,exercise,ambiguous
24457,아 주방 쪽으로 안내해 왠지 싶네,kitchen,direct
24458,커피 한잔 하고 싶다 조금 해야겠다,kitchen,indirect
24459,음 가볍게 뭐라도 하고 싶다 왠지 ㅠㅠ,kitchen,ambiguous
24460,음 편하게 앉을 곳으로 가줘 진짜 같은데,living room,direct
24461,좀 오늘은 아무 생각 하기 싫다 약간!,living room,indirect
24462,혹시 오늘 너무 피곤하다 싶네,living room,ambiguous
24463,좀 잠잘 곳으로 안내해 약간!,bedroom,direct
24464,아 쉬면서 자고 싶어 진짜 해야겠다,bedroom,indirect
24465,조용한 분위기가 좋다 진짜 좀,bedroom,ambiguous
24466,혹시 운동방으로 안내해 약간 싶네,exercise,direct
24467,혹시 운동 안 한 지 오래됐다 진짜 ㅠㅠ,exercise,indirect
24468,지금 리프레시하고 싶네 조금 같은데,exercise,ambiguous
24469,혹시 냉장고 앞으로 가 해야겠다,kitchen,direct
24470,음 냉장고 확인하고 싶다 조금 좀,kitchen,indirect
24471,기분 전환 좀 할까 진짜 해야겠다,kitchen,ambiguous
24472,지금 거실 쪽으로 가자 진짜 싶네,living room,direct
24473,드라마 보고 싶다 싶네,living room,indirect
24474,가볍게 쉬고 싶다 조금 같은데,living room,ambiguous
24475,아 자는 곳으로 가,bedroom,direct
24476,음 침대 생각난다 해야겠다,bedroom,indirect
24477,좀 잠잠한 곳이 좋네 왠지!,bedroom,ambiguous
24478,운동 장소로 이동하자 조금 ㅠㅠ,exercise,direct
24479,지금 몸이 찌뿌둥하다 조금 좀,exercise,indirect
24480,오늘 가만히 있기 싫다 왠지 싶네,exercise,ambiguous
24481,좀 싱크대 있는 데로 가 조금 ㅠㅠ,kitchen,direct
24482,음 간단하게 요기하고 싶어 왠지 ㅠㅠ,kitchen,indirect
24483,뭔가 찾고 싶네 왠지 같은데,kitchen,ambiguous
24484,아 거실 쪽으로 가자 조금 ㅠㅠ,living room,direct
24485,좀 잠깐 멍 때리고 싶네 진짜,living room,indirect
24486,오늘 한숨 돌리고 싶다 조금,living room,ambiguous
24487,오늘 자는 곳으로 가 약간 같은데,bedroom,direct
24488,음 눈이 감긴다 진짜 싶네,bedroom,indirect
24489,오늘 방해받기 싫다,bedroom,ambiguous
24490,운동방으로 안내해 약간!,exercise,direct
24491,지금 스트레칭하고 싶다 진짜 해야겠다,exercise,indirect
24492,활력이 필요하다 좀,exercise,ambiguous
24493,혹시 싱크대 있는 데로 가 진짜!,kitchen,direct
24494,갑자기 물 마시고 싶다 조금 해야겠다,kitchen,indirect
24495,오늘 손 가는 걸 해보고 싶다 ㅠㅠ,kitchen,ambiguous
24496,오늘 소파 앞으로 가 왠지 ㅠㅠ,living room,direct
24497,지금 드라마 보고 싶다 진짜,living room,indirect
24498,한숨 돌리고 싶다 약간 싶네,living room,ambiguous
24499,침대 있는 방으로 이동해 조금,bedroom,direct
24500,혹시 너무 졸리다 조금 싶네,bedroom,indirect
24501,혼자 있고 싶네 ㅠㅠ,bedroom,ambiguous
24502,혹시 운동하는 곳으로 가줘 약간 ㅠㅠ,exercise,direct
24503,갑자기 스트레칭하고 싶다 진짜 싶네,exercise,indirect
24504,음 가만히 있기 싫다 진짜 ㅠㅠ,exercise,ambiguous
24505,지금 부엌에 가고 싶어 진짜!,kitchen,direct
24506,오늘 배가 좀 고프네 조금 해야겠다,kitchen,indirect
24507,갑자기 가볍게 뭐라도 하고 싶다 왠지 좀,kitchen,ambiguous
24508,갑자기 편하게 앉을 곳으로 가줘 진짜 싶네,living room,direct
24509,음 가만히 앉아 있고 싶다 조금!,living room,indirect
24510,혹시 기분 전환이 필요하다 진짜 해야겠다,living room,ambiguous
24511,침실로 데려다줘 진짜 싶네,bedroom,direct
24512,좀 몸이 너무 피곤하다 진짜.,bedroom,indirect
24513,지금 방해받기 싫다 진짜 좀,bedroom,ambiguous
24514,지금 운동방으로 안내해 왠지 ㅠㅠ,exercise,direct
24515,아 너무 오래 앉아 있었네 왠지.,exercise,indirect
24516,오늘 답답해서 움직이고 싶다!,exercise,ambiguous
24517,좀 주방으로 데려다줘 조금,kitchen,direct
24518,좀 목이 좀 마른데 조금 해야겠다,kitchen,indirect
24519,지금 간단하게 해결할 게 없나 진짜!,kitchen,ambiguous
24520,아 편하게 앉을 곳으로 가줘 약간.,living room,direct
24521,음 가만히 앉아 있고 싶다 약간 같은데,living room,indirect
24522,혹시 느긋하게 있고 싶어 조금!,living room,ambiguous
24523,침대 앞으로 가 진짜 ㅠㅠ,bedroom,direct
24524,갑자기 침대 생각난다 해야겠다,bedroom,indirect
24525,좀 오늘은 아무것도 하기 싫다 약간 해야겠다,bedroom,ambiguous
24526,아 스트레칭할 공간으로 가고 싶어 진짜,exercise,direct
24527,갑자기 몸이 찌뿌둥하다 약간,exercise,indirect
24528,혹시 몸이 무거운 느낌이다 조금 ㅠㅠ,exercise,ambiguous
24529,혹시 부엌 쪽으로 이동하자 조금 싶네,kitchen,direct
24530,갑자기 배가 좀 고프네 ㅠㅠ,kitchen,indirect
24531,혹시 오늘 뭔가 만들어볼까 진짜 ㅠㅠ,kitchen,ambiguous
24532,음 거실로 안내해 진짜.,living room,direct
24533,오늘 가만히 앉아 있고 싶다 진짜!,living room,indirect
24534,느긋하게 있고 싶어 진짜 같은데,living room,ambiguous
